State ,Year ,NrbsSurveyYear,Dpi
Alabama,2012,1,39473
Alaska,2012,1,48465
Arizona,2012,1,32770
Arkansas,2012,1,32934
California,2012,1,42451
Colorado,2012,1,39838
Connecticut,2012,1,55895
Delaware,2012,1,38893
District of Columbia,2012,1,57155
Florida,2012,1,37195
Georgia,2012,1,33167
Hawaii,2012,1,40339
Idaho,2012,1,31589
Illinois,2012,1,40143
Indiana,2012,1,35125
Iowa,2012,1,38326
Kansas,2012,1,40424
Kentucky,2012,1,32202
Louisiana,2012,1,36448
Maine,2012,1,35993
Maryland,2012,1,46815
Massachusetts,2012,1,49507
Michigan,2012,1,34727
Minnesota,2012,1,41491
Mississippi,2012,1,30385
Missouri,2012,1,35958
Montana,2012,1,35876
Nebraska,2012,1,41599
Nevada,2012,1,35605
New Hampshire,2012,1,47346
New Jersey,2012,1,48569
New Mexico,2012,1,32526
New York,2012,1,46010
North Carolina,2012,1,34814
North Dakota,2012,1,50227
Ohio,2012,1,36035
Oklahoma,2012,1,37298
Oregon,2012,1,34683
Pennsylvania,2012,1,41020
Rhode Island,2012,1,41492
South Carolina,2012,1,32117
South Dakota,2012,1,41402
Tennessee,2012,1,35916
Texas,2012,1,39224
Utah,2012,1,31991
Vermont,2012,1,40735
Virginia,2012,1,43685
Washington,2012,1,43026
West Virginia,2012,1,31665
Wisconsin,2012,1,38044
Wyoming,2012,1,46930
Alabama,2016,0,35154
Alaska,2016,0,50747
Arizona,2016,0,36308
Arkansas,2016,0,35846
California,2016,0,48266
Colorado,2016,0,45418
Connecticut,2016,0,58465
Delaware,2016,0,42498
District of Columbia,2016,0,64572
Florida,2016,0,40854
Georgia,2016,0,37387
Hawaii,2016,0,44927
Idaho,2016,0,35490
Illinois,2016,0,45171
Indiana,2016,0,38619
Iowa,2016,0,41052
Kansas,2016,0,42379
Kentucky,2016,0,34701
Louisiana,2016,0,38498
Maine,2016,0,39445
Maryland,2016,0,50200
Massachusetts,2016,0,54190
Michigan,2016,0,39191
Minnesota,2016,0,44746
Mississippi,2016,0,32531
Missouri,2016,0,38081
Montana,2016,0,38181
Nebraska,2016,0,44823
Nevada,2016,0,39002
New Hampshire,2016,0,50077
New Jersey,2016,0,52999
New Mexico,2016,0,35028
New York,2016,0,49478
North Carolina,2016,0,37415
North Dakota,2016,0,49407
Ohio,2016,0,39665
Oklahoma,2016,0,38597
Oregon,2016,0,39434
Pennsylvania,2016,0,44696
Rhode Island,2016,0,44662
South Carolina,2016,0,35516
South Dakota,2016,0,43415
Tennessee,2016,0,39628
Texas,2016,0,41606
Utah,2016,0,36335
Vermont,2016,0,44808
Virginia,2016,0,46191
Washington,2016,0,48630
West Virginia,2016,0,33088
Wisconsin,2016,0,41261
Wyoming,2016,0,49545
