Department,Year,PassengerVmtDomestic ,PassengerVmtForeign,TrucksVmtDomestic,TrucksVmtForeign,OtherVmtDomestic,OtherVmtForeign,WorldwideGasoline
American Battle Monuments Commission,2015,2695,158762, ,57679, , ,3241
Broadcasting Board of Governors,2015,41915,577178,15380,567624, ,41066,30267
Consumer Product Safety Commission,2015,617201, ,27408, , , ,23224
Court Services and Offender Supervision Agency,2015,194618, ,2325, , , ,4878
Department of Agriculture,2015,132114804,625805,202223903,556061,539578, ,18243590
Department of Commerce,2015,8587714,673770,6344353,71018,48482, ,722748
Department of Education,2015,1059637, , , ,1284, ,43835
Department of Energy,2015,28257954, ,52546096, ,3158849, ,3612807
Department of Health and Human Services,2015,26760698,1679370,6129047,180599,853035,43867,1502207
Department of Homeland Security,2015,443097615,4463116,171549418,188053,3117680,3067,35743969
Department of Housing and Urban Development,2015,3632887, ,9301, , , ,147819
Department of Justice,2015,364349129,4554405,59561478,504850,11552761, ,22530172
Department of Labor,2015,35870924, ,5356201, ,2628722, ,2251374
Department of State,2015,8682968,51574680,1759637,19779605,199164,845034,4078560
Department of the Interior,2015,85544346, ,139492031, ,8327988, ,13330943
Department of Transportation,2015,37174950, ,17319075, ,7406, ,2475737
Department of the Treasury,2015,29779748,31000,1150588, , , ,1306146
Department of Veterans Affairs,2015,147361090,42250,31715122,153,12467357, ,7516882
Environmental Protection Agency,2015,8045491,6415,1551741, ,64840, ,396939
Equal Employment Opportunity Commission,2015,650130, ,6955, , , ,21990
Federal Communications Commission,2015,333867, , , , , ,14218
Federal Housing Finance Agency,2015,8205, , , , , ,582
Federal Maritime Commission,2015,49345, , , , , ,2886
General Services Administration,2015,5896105,31798,381148, ,13689, ,242222
Government Printing Office,2015,94258, ,102832, , , ,10374
Library of Congress,2015,49783, ,52663, ,4290, ,4935
National Aeronautics and Space Administration,2015,7618477,130409,7376194,197,194333, ,430508
National Archives & Records Administration,2015,147120, ,156391, , , ,12721
National Gallery of Art,2015,20622, ,13792, , , ,3164
National Labor Relations Board,2015,308596, ,535, , , ,10289
National Science Foundation,2015,1075625,93803,1084487,182412,76747,2575,128048
National Transportation Safety Board,2015,29425, , , , , ,1602
Nuclear Regulatory Commission,2015,66520, ,9114, , , ,3628
Office of Personnel Management,2015,14629195, ,40635, , , ,534811
Peace Corps,2015,199351,6771085, ,745544, ,72827,108290
Pretrial Services Agency for the Dist of Columbia,2015,2244, , , , , ,162
Small Business Administration,2015,1488509, ,22376, , , ,61097
Smithsonian Institution,2015,497016,14039,489746,44629,96340, ,32258
Social Security Administration,2015,5257216, ,230480, ,10145, ,203990
Tennessee Valley Authority,2015,14084777, ,23124033, ,895, ,2516226
US International Trade Commission,2015,2457, ,5726, , , ,583
U.S. Postal Service,2015,63442752,0,1328192024,0,3786,0,126053965
